FID,Funding_Pool_Name,Funding_Pool_Closing_Date,Financial_Year,Organisation_Name,Project_Event_Title,Confirmed_umbrella_organisation__Account_Name,Where_will_it_take_place_,Where_will_it_take_place__1,Venue,Project_Start_Date,Project_End_Date,Event_start_date,Event_end_date,Target_age_group,Target_age_group_1,Target_Population,Other_Specific_Group,Active_participants,Attendees,Physical_access,Financial_access,Total_Project_Cost,Other_Income_Your_Contribution,Difference,Amount_requested,Granted_Total_Amount,Final_Decision,Status,Outcome_1,Outcome_2,Outcome_3,Outcome_4,Outcome_5,Outcome_6,Outcome_7,Outcome_8,Outcome_9,Outcome_10,Link_to_website_for_your_project_event
2011,Social And Recreation Fund,2014-04-15T12:00:00.000Z,2013,Tawa Rugby football club,artifical turf,-,-,Tawa - Grenada North - Takapu Valley,-,4/15/2014 12:00:00 AM,4/3/2015 12:00:00 AM,-,-,-,All,All,-,-,-,Clearly visible signage,User pays,145129.13,135000,10129.13,10000,10000,Approved,Complete,Establishment of community artificial turf facility.,Provide opportunity for junior and senior club members to train.,"Provide opportunities for local schools, other clubs and community to access the facility, report on usage.",no cancelled training due to ground closure,-,-,-,-,-,-,-
2012,Tawa Community Funding,2017-02-27T12:00:00.000Z,2016,Tawa Rugby Football Club,coach development office,-,-,"All of Tawa; Grenada North; Linden; Takapu Valley; Tawa",-,2/20/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2/20/2017 12:00:00 AM,2/20/2017 12:00:00 AM,-,Children,All,-,-,-,-,-,59778,40000,19778,1500,500,Approved,Monitoring,Coaches up skilled on drills and coach techniques,Coaches up skilled on presentation/ communcation to players,-,-,-,-,-,-,-,-,-
2013,Tawa Community Funding,2017-02-27T12:00:00.000Z,2016,Tawa School,Chairs for school hall,-,-,Tawa,-,3/1/2017 12:00:00 AM,7/1/2017 12:00:00 AM,2/23/2017 12:00:00 AM,2/23/2017 12:00:00 AM,-,All,All,-,-,-,-,-,3250,0,3250,3250,500,Approved,For Funding Agreement Acceptance,To provide appropriate seating for our school and community groups who use our hall.,-,-,-,-,-,-,-,-,-,-
2014,Built Heritage Incentive Fund,2014-07-31T12:00:00.000Z,2014,Mark Baylis,Seismic Strengthening 23 Frederick st,-,-,Te Aro,-,6/1/2014 12:00:00 AM,8/14/2014 12:00:00 AM,-,-,-,-,-,-,-,-,-,-,200500,125000,75500,35000,35000,Approved,Complete,Maintain the integrity of the beautiful building which is highly regarded in the area,Strengthen the building to save it from collapse in an earthquake,Ensure from the exterior the building is true to its original design.,Preserve the building for future generations.,Make the building safe for people occupying and enjoying it,-,-,-,-,-,-
2015,Wellington Venue Subsidy,2017-06-29T12:00:00.000Z,2016,Tawa Schools and Community Music Festival,"Tawa Goes To Town, Tawa School and Community Music Festival",-,Michael Fowler Centre,-,-,6/1/2016 12:00:00 AM,9/20/2016 12:00:00 AM,9/19/2016 12:00:00 AM,9/20/2016 12:00:00 AM,-,All,All,-,-,-,-,-,63633.32,47018.54,16614.78,15000,15000,Approved,Monitoring,Give children the opportunity to learn the disciplines and enjoyment of a live performance,Give local groups exposure and the opportunity to perform,Bring the Tawa community together with music,Produce a professional quality show including people of all ages,-,-,-,-,-,-,-
2016,Built Heritage Incentive Fund,2015-03-19T12:00:00.000Z,2014,Mark Gyopari,Painting 16 Salisbury Garden Court,-,-,Wadestown,-,3/1/2015 12:00:00 AM,5/1/2015 12:00:00 AM,1/26/2015 12:00:00 AM,1/26/2015 12:00:00 AM,-,-,-,-,-,-,-,-,19837.5,10000,9837.5,9837.5,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2017,Tawa Community Funding,2016-02-28T12:00:00.000Z,2015,Tawa Schools and Community Music Festival,"Tawa Goes To Town, Tawa Schools and Community Music Festival",Tawa College,-,All of Tawa,-,6/1/2016 12:00:00 AM,9/20/2016 12:00:00 AM,2/16/2016 12:00:00 AM,2/16/2016 12:00:00 AM,-,All,All,-,-,-,-,-,53533.82,40318,13215.82,5000,5000,Approved,Complete,Give children the opportunity to learn the disciplines and enjoyment of a live performance,Give local groups exposure and the opportunity to perform,Bring the Tawa community together with music,Produce a professional quality show including people of all ages,"Collect feedback after the event from the audience and participants to inform planning for future events, include this is your reporting.",-,-,-,-,-,-
2018,Creative Communities Local Funding Scheme,2017-02-27T12:00:00.000Z,2016,Mark Lockett,Wellington Jazz Cooperative,-,-,Wellington Central,Pyramid Club,4/3/2017 12:00:00 AM,12/31/2017 12:00:00 AM,6/1/2017 12:00:00 AM,12/14/2017 12:00:00 AM,-,All,-,-,2,285,-,-,4840,2925,1915,1900,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2019,Creative Communities Local Funding Scheme (Legacy),2012-08-30T12:00:00.000Z,2012,Martin Ryman,Beautiful Sorrows - French Baroque Music for Easter,-,-,All of Wellington City,-,9/1/2012 12:00:00 AM,3/16/2013 12:00:00 AM,-,-,-,All,-,-,-,-,-,-,4165,1650,2515,2500,1500,Approved,Complete,To promote an artistic experience for the audience.,"To achieve an audience of at least 80, but preferably more than 100.",To involve an audience of multi cultural background in an enriching artistic experience of significant merit.,To provide a performing opportunity for the Wellington based musicians involved in this concert.,To provide a different Easter experience in Wellington city.,-,-,-,-,-,-
2020,Tawa Community Funding,2014-02-27T12:00:00.000Z,2013,Tawa Schools and Community Music Festival,"Tawa Schools and Community Music Festival, Tawa Goes To Town",Tawa College,-,All of Tawa,-,6/1/2014 12:00:00 AM,9/23/2014 12:00:00 AM,-,-,-,All,All,year 5 at school + for participation,-,-,-,-,54603.92,50332,4271.92,4000,3000,Approved,Complete,Give children the opportunity to learn the disciplines and enjoyment of a live performance.,Give local groups the opportunity to perform,Bring the Tawa community together with music,-,-,-,-,-,-,-,-
2021,Creative Communities Local Funding Scheme (Legacy),2012-08-30T12:00:00.000Z,2012,Mary Laine,Public Service Announcements--Christmas at the Beehive,-,-,Wellington Central,-,10/1/2012 12:00:00 AM,12/31/2012 12:00:00 AM,-,-,-,All,-,-,-,-,-,-,4114.1,2586.5,1527.6,1500,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2022,Wellington Venue Subsidy,2015-06-29T12:00:00.000Z,2014,Tawa Schools and Community Music Festival,"Tawa Schools and Community Music Festival, Tawa Goes To Town",-,Michael Fowler Centre,-,-,6/11/2014 12:00:00 AM,9/23/2014 12:00:00 AM,-,-,-,All,All,-,-,-,-,-,54603.92,40332,14271.92,12000,10000,Approved,Complete,Give children the opportunity to learn the disciplines and enjoyment of a live performance,Give local groups exposure and the opportunity to perform,Bring the Tawa Community together with music,Produce a professional quality show with people of all ages.,-,-,-,-,-,-,-
2023,Arts And Culture Fund,2017-03-30T12:00:00.000Z,2016,Massey Flux,Suess Flux Colab,Wellington Museums Trust T/A Experience Wellington,-,Wellington Central,FLUX @ Wellington Museum,5/12/2017 12:00:00 AM,8/1/2017 12:00:00 AM,7/20/2017 12:00:00 AM,7/21/2017 12:00:00 AM,-,All,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Free to all; Koha/donation",2856.63,0,2856.63,2856.63,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2024,Tawa Community Funding,2013-02-27T12:00:00.000Z,2012,TAWA SQUASH RACKETS CLUB INCORPORATED,Earthquake Strengthening,-,-,All of Tawa,-,5/1/2013 12:00:00 AM,7/31/2013 12:00:00 AM,-,-,-,All,All,-,-,-,-,-,10621.48,7621.48,3000,3000,2984,Approved,Complete,To get an engineers report indicating the work required to bring the building up to a minimum earthquake standard of 67% NBS.,-,-,-,-,-,-,-,-,-,-
2025,Social And Recreation Fund,2016-08-09T12:00:00.000Z,2016,Matu Sako New Zealand Incorporated,Strengthening Myanmar Ethnics Community,-,-,"Newtown; Strathmore Park",-,9/19/2016 12:00:00 AM,12/31/2016 12:00:00 AM,8/9/2016 12:00:00 AM,8/9/2016 12:00:00 AM,-,All,Other specific group,Ethnic groups from Myanmar,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet","Free to all; Koha/donation",6100,0,6100,6100,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2026,Tawa Community Funding,2014-02-27T12:00:00.000Z,2013,Tawa Squash Rackets Club Incorporated,Court Heat Pumps,-,-,All of Tawa,-,4/1/2014 12:00:00 AM,7/1/2014 12:00:00 AM,-,-,-,All,All,Juniors and females,-,-,-,-,5987,3237,2750,2750,500,Approved,Complete,Less condensation on the court walls.,A warmer environment to watch and referee games in the middle of winter,An easier game to play in mid winter as the cold and the damp don't hinder the bounce of the ball.,Fresher circulating air dispelling the stale perspiration odour that comes from high impact indoor sport.,"To have another compelling statement to market our club - ""air conditioned"" courts.",-,-,-,-,-,-
2027,Tawa Community Funding,2017-06-29T12:00:00.000Z,2016,Tawa Squash Rackets Club Incorporated,Outdoor Security Lights,-,-,-,-,6/21/2017 12:00:00 AM,6/21/2017 12:00:00 AM,6/21/2017 12:00:00 AM,6/21/2017 12:00:00 AM,-,-,All,-,-,-,-,-,800,0,800,800,500,Approved,Monitoring,-,-,-,-,-,-,-,-,-,-,-
2028,Social And Recreation Fund,2015-07-13T12:00:00.000Z,2015,Matu Sako New Zealand Incorporated,Wellington Myanmar Ethnics Development,-,-,Newtown,-,7/14/2015 12:00:00 AM,12/31/2015 12:00:00 AM,7/14/2015 12:00:00 AM,7/14/2015 12:00:00 AM,-,All,Other specific group,Wellington Myanmar Ethnics families,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair access to main entrance","Free to all; Koha/donation",8087,0,8087,8087,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2029,Betty Campbell Accommodation Assistance (Project funding),2015-06-29T12:00:00.000Z,2014,Matu Sako New Zealand Incorporated,Phone and internet connection- Anvil House Emerging Communities Room,-,-,-,-,4/27/2015 12:00:00 AM,10/27/2015 12:00:00 AM,4/22/2015 12:00:00 AM,4/22/2015 12:00:00 AM,-,-,-,-,-,-,-,-,971.85,0,971.85,-,971.85,Approved,Monitoring,-,-,-,-,-,-,-,-,-,-,-
2030,Tawa Community Funding,2015-02-27T12:00:00.000Z,2014,Tawa Squash Rackets Club Incorporated,Purchase of new stove,-,-,All of Tawa,-,2/26/2015 12:00:00 AM,4/15/2015 12:00:00 AM,2/26/2015 12:00:00 AM,2/26/2015 12:00:00 AM,-,All,All,"Hutt Valley, Porirua, National",-,-,-,-,1825.22,738.26,1086.96,1086,500,Approved,Complete,Improved community facility,"Provide capacity and quality to ensure hot food, especially for the regular suppers after interclub and tournaments, are properly heated/cooked.",-,-,-,-,-,-,-,-,-
2031,Tawa Community Funding,2017-02-27T12:00:00.000Z,2016,Tawa Squash Rackets Club Incorporated,Outdoor Security Lights,-,-,All of Tawa,-,2/23/2017 12:00:00 AM,6/23/2017 12:00:00 AM,2/23/2017 12:00:00 AM,2/23/2017 12:00:00 AM,-,All,-,-,-,-,-,-,1100,300,800,800,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2032,Arts And Culture Fund,2016-03-21T12:00:00.000Z,2015,Matu Sako New Zealand Incorporated,Refugee's Talent Show,-,-,Wellington Central,It will be held in Wellington City but the exact venue will be booked depend on funding.,8/20/2016 12:00:00 AM,8/20/2016 12:00:00 AM,8/20/2016 12:00:00 AM,8/20/2016 12:00:00 AM,-,All,All,-,-,-,Clearly visible signage,Free to all,2000,0,2000,2000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2033,Arts And Culture Fund,2016-03-21T12:00:00.000Z,2015,Matu Sako New Zealand Incorporated,Myanmar Ethnics Cultural Festival,-,-,Wellington Central,The venue will be decided depending on funding.,7/30/2016 12:00:00 AM,7/30/2016 12:00:00 AM,7/30/2016 12:00:00 AM,7/30/2016 12:00:00 AM,-,All,All,-,-,-,Clearly visible signage,Free to all,3700,0,3700,3700,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,http://wellington.govt.nz/services/community-and-culture/community-directories/community-venues/w/wellington-high-school-riley-centre
2034,Tawa Community Funding,2016-02-28T12:00:00.000Z,2015,Tawa Squash Rackets Club Incorporated,Membership Access Software Upgrade,-,-,All of Tawa,-,2/26/2016 12:00:00 AM,2/26/2016 12:00:00 AM,2/26/2016 12:00:00 AM,2/26/2016 12:00:00 AM,-,Young people,All,Porirua,-,-,-,-,1695,391,1304,1304,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2035,Creative Communities Local Funding Scheme (Feb 15 to Jul 16),2015-08-30T12:00:00.000Z,2015,Mayur Dance Academy,Indian classical dance and Music,-,-,All of Wellington City,"Performing Arts Center, Sacred Heart College, 65 Laings Road, Lower Hutt, Wellington.",10/3/2015 12:00:00 AM,10/3/2015 12:00:00 AM,10/3/2015 12:00:00 AM,10/3/2015 12:00:00 AM,-,-,-,-,48,200,-,-,1610,0,1610,1610,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2036,General Grants,2013-03-30T12:00:00.000Z,2012,Tawata Productions,TU,-,-,Wellington Central,-,6/3/2013 12:00:00 AM,6/30/2013 12:00:00 AM,-,-,-,All,All,Maori,-,-,-,-,111431.25,94577.31,16853.94,16853.94,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2037,Creative Communities Local Funding Scheme,2017-02-27T12:00:00.000Z,2016,Mayur Dance Academy,Indian Cultural Dance Program by Mayur Dance Academy,-,-,Wellington Central,"Memorial Theatre Victoria University, Wellington",7/28/2017 12:00:00 AM,7/29/2017 12:00:00 AM,7/28/2017 12:00:00 AM,7/29/2017 12:00:00 AM,-,All,-,-,52,320,-,-,10564.43,2457.5,8106.93,8106.93,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2038,Arts And Culture Fund,2014-10-20T12:00:00.000Z,2014,Tawata Productions,Putahi Festival 2015,-,-,All of Wellington City,"Studio 77, Fairlie Terrace, Victoria Unversity of Wellington",2/1/2015 12:00:00 AM,3/1/2015 12:00:00 AM,2/23/2015 12:00:00 AM,3/1/2015 12:00:00 AM,-,All,All,Maori,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Community Service/Gold card discount; Free to all; Koha/donation; User pays",35215,16975,18240,18240,8000,Approved,Complete,Establish Wellington as a national focus for Maori theatre and dance.,Create employment in the Wellington creative sector.,Creating and upskilling new talent base for the Wellington creative economy.,Create and deliver high quality work for a wide cross section of the Wellington community.,Assist in re-establishing Wellington as the arts capital of New Zealand.,-,-,-,-,-,putahifestival.com
2039,C H Izard Bequest,2016-03-10T12:00:00.000Z,2015,MCLaSS: Multicultural Learning and Support Services,Empowering refugee parents to participate in their children's learning through school-based ESOL classes,-,-,"Berhampore; Miramar",-,5/2/2016 12:00:00 AM,12/30/2016 12:00:00 AM,3/10/2016 12:00:00 AM,3/10/2016 12:00:00 AM,-,All,Other specific group,Former refugees and migrants,-,-,-,-,53794,35046,18748,8748,8478,Approved,Monitoring,Number of enrolments and retentions,Non English Speaking Background participants report increased confidence in communicating in English and understanding materials written in English.,Participants report increased feelings of being connected to others in the local community.,School staff report a benefit to the school community.,-,-,-,-,-,-,www.mclass.org.nz
2040,General Grants,2013-03-30T12:00:00.000Z,2012,Tawata Productions,MATARIKI DEVELOPMENT FESTIVAL 2013,-,-,Wellington Central,-,6/17/2013 12:00:00 AM,6/23/2013 12:00:00 AM,-,-,-,All,All,-,-,-,-,-,15060,5500,9560,9560,6750,Approved,Complete,Share the experiences of Tangata Whenua in Wellington through the development of new plays by emerging and established Maori writers.,Contribute to the promotion of culture and diversity in Wellington through the stories of Maori and Pasifika writers.,Create a dynamic cultural and creative platform on which the Wellington community can engage with new writing in development.,Reinvigorate the Wellington theatre industry.,The Matariki Development Festival creates multiple opportunities for new work to be made by professional Maori theatre practitioners in Wellington. The creation of new work leads to new employment opportunities for the Wellington theatre industry.,-,-,-,-,-,-
2041,Arts And Culture Fund,2014-03-30T12:00:00.000Z,2013,Tawata Productions,MATARIKI DEVELOPMENT FESTIVAL 2014,-,-,All of Wellington City,Circa Theatre,6/9/2014 12:00:00 AM,7/6/2014 12:00:00 AM,-,-,-,All,All,Maori & Pasifika,-,-,"Clearly visible signage; Hearing loop/digital listener; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Free to all; Koha/donation",49243.95,39243.95,10000,10000,10000,Approved,Complete,• Share the experiences and stories of Tangata Whenua in Wellington through Maori writers.,• Create a platform by which professional Wellington theatre that celebrates its bicultural heritage.,• Contribute to the promotion of culture and diversity in Wellington through the stories of Maori and Pasifika writers.,• The Matariki Development Festival creates multiple opportunities for new work to be made by professional Maori theatre practitioners in Wellington. The creation of new work leads to new employment opportunities for the Wellington theatre industry.,• Create a dynamic cultural and creative platform on which the Wellington community can engage with indigenous stories and knowledge.,-,-,-,-,-,-
2042,Social And Recreation Fund,2013-10-30T12:00:00.000Z,2013,MCLaSS: Multicultural Learning and Support Services,Empowering refugee parents to participate in their children's learning through school-based ESOL classes,-,-,Miramar,-,2/10/2014 12:00:00 AM,12/12/2014 12:00:00 AM,-,-,-,-,Other specific group,refugee and other parents,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,16190,8100,8090,8000,6000,Approved,Complete,Non English Speaking Background participants report increased confidence in communicating in English and understanding materials written in English.,All participants report increased feelings of being connected to others in the local community.,The staff at Holy Cross School report an increase in parental understanding of how they can help their children participate fully in their school learning.,-,-,-,-,-,-,-,-
2043,Creative Communities Local Funding Scheme (Legacy),2013-02-27T12:00:00.000Z,2012,Tawata Productions,Neang Neak's Legacy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33373.6,25374,7999.6,7999.6,5000,Approved,Complete,Share the experiences of the Khmer community in Wellington through presentation of NEANG NEAK’S LEGACY by an emerging Khmer writer.,Create a platform by which professional Wellington theatre celebrates its contemporary multi-cultural community.,"Contribute to the professional and creative development of Wellington based writers, designers and actors of diverse communities.","Contribute to the professional and creative development of Wellington based writers, designers and actors of diverse communities.",Create a dynamic cultural and creative platform on which the Wellington community can engage with new theatre.,-,-,-,-,-,-
2044,General Grants - Contract Funding,2017-03-30T12:00:00.000Z,2017,Tawata Productions,Contract funding - Year 3 of 3 Pūtahi Festival (February) and Ahi Kaa Festival (June-July) (2017-2018),-,-,All of Wellington City,-,2/23/2015 12:00:00 AM,2/23/2015 12:00:00 AM,2/23/2015 12:00:00 AM,2/23/2015 12:00:00 AM,-,-,-,-,-,-,-,-,77996,37997,39999,39999,35830,Approved,Monitoring,The increased visibility of Māori and Pasifika contemporary performance presented at the main stages in Wellington.,The increased numbers of Māori and Pasifika contemporary performance companies continuing to stay resident in Wellington City and present work throughout the year.,The growing number of Pūtahi Festival and Ahi Kaa Festival local audiences engaging with Māori and Pasifika contemporary performance.,The local arts organizations partnering with Pūtahi Festival and Ahi Kaa Festival.,The dynamic and healthy Wellington Māori theatre industry.,-,-,-,-,-,-
2045,General Grants - Contract Funding,2015-02-26T12:00:00.000Z,2015,Tawata Productions,Contract funding - Year 1 of 3 Pūtahi Festival (February) and Ahi Kaa Festival (June-July) (2015-2016),-,-,All of Wellington City,-,2/23/2015 12:00:00 AM,2/23/2015 12:00:00 AM,2/23/2015 12:00:00 AM,2/23/2015 12:00:00 AM,-,-,-,-,-,-,-,-,77996,37997,39999,39999,35000,Approved,Complete,The increased visibility of Māori and Pasifika contemporary performance presented at the main stages in Wellington.,The increased numbers of Māori and Pasifika contemporary performance companies continuing to stay resident in Wellington City and present work throughout the year.,The growing number of Pūtahi Festival and Ahi Kaa Festival local audiences engaging with Māori and Pasifika contemporary performance.,The local arts organizations partnering with Pūtahi Festival and Ahi Kaa Festival.,The dynamic and healthy Wellington Māori theatre industry.,-,-,-,-,-,-
2046,General Grants - Contract Funding,2016-04-14T12:00:00.000Z,2016,Tawata Productions,Contract funding - Year 2 of 3 Pūtahi Festival (February) and Ahi Kaa Festival (June-July) (2016-2017),-,-,All of Wellington City,-,2/23/2015 12:00:00 AM,2/23/2015 12:00:00 AM,2/23/2015 12:00:00 AM,2/23/2015 12:00:00 AM,-,-,-,-,-,-,-,-,77996,37997,39999,39999,35300,Approved,Monitoring,The increased visibility of Māori and Pasifika contemporary performance presented at the main stages in Wellington.,The increased numbers of Māori and Pasifika contemporary performance companies continuing to stay resident in Wellington City and present work throughout the year.,The growing number of Pūtahi Festival and Ahi Kaa Festival local audiences engaging with Māori and Pasifika contemporary performance.,The local arts organizations partnering with Pūtahi Festival and Ahi Kaa Festival.,The dynamic and healthy Wellington Māori theatre industry.,-,-,-,-,-,-
